nome_territorio,dominio_orcrim,geometria
MORRO SANTANA,ADA,"POLYGON((-41.7902341999999 -22.3715415999999, -41.7890968999999 -22.3724941, -41.7887964999999 -22.3736648, -41.7864577 -22.3743393999999, -41.7861786999999 -22.3720432, -41.7856207999999 -22.3718843999999, -41.7858138999999 -22.3707479, -41.7860499999999 -22.3697955, -41.7882600999999 -22.3692397999999, -41.7898264999999 -22.3698747999999, -41.7904273 -22.3699541999999, -41.7902341999999 -22.3715415999999))"
MORRO DO CARVÃO,ADA,"POLYGON((-41.7751943 -22.3900022999999, -41.7756555999999 -22.3886234, -41.7753552 -22.3875717999999, -41.7748831 -22.3871452999999, -41.7752907999999 -22.3869965, -41.7750761999999 -22.3851314999999, -41.7766319 -22.3855579999999, -41.7790137 -22.3847941999999, -41.778488 -22.3859747, -41.7779623 -22.3872544, -41.7774044 -22.3884348999999, -41.777501 -22.3899923, -41.7772970999999 -22.3908256, -41.7765461 -22.3911927, -41.7759237999999 -22.3911232, -41.7751943 -22.3900022999999))"
PARQUE SAO MATEUS,ADA,"POLYGON((-41.3102325 -21.7165644, -41.3091166999999 -21.7150293999999, -41.3088806 -21.7138533, -41.3095029 -21.7138931, -41.3097389 -21.7143715999999, -41.3107689 -21.7142918, -41.3116701 -21.71485, -41.3128073999999 -21.7146506999999, -41.3141163 -21.7141124, -41.3150603999999 -21.7148101999999, -41.3157256 -21.7146107999999, -41.3165625 -21.7148301, -41.3171632999999 -21.7142918, -41.3176568 -21.7142519999999, -41.3177211999999 -21.7149896, -41.3179572 -21.7165046, -41.3185151 -21.7166242, -41.3187296999999 -21.7169231999999, -41.3184077999999 -21.717302, -41.3122923999999 -21.718518, -41.3102325 -21.7165644))"
FAVELA DAS ALMAS,ADA,"POLYGON((-43.4496900999999 -22.8866939, -43.4491535999999 -22.8864566999999, -43.4490249 -22.8859031, -43.4485956999999 -22.8853495999999, -43.4507844 -22.8836494999999, -43.4498402999999 -22.8831948, -43.4511921 -22.8821273, -43.451514 -22.880783, -43.4526941 -22.8808817999999, -43.4529515999999 -22.8815539999999, -43.4527156 -22.8825621999999, -43.4521791 -22.8840054, -43.4522435 -22.8854484999999, -43.4517071 -22.8856658999999, -43.4514066999999 -22.8857844999999, -43.4515782999999 -22.8865752999999, -43.4508273 -22.8870497, -43.4496900999999 -22.8866939))"
MIRAMAR,ADA,"POLYGON((-41.7912426999999 -22.3807538, -41.7900195999999 -22.3816467, -41.7889038 -22.3818054, -41.7882385999999 -22.38123, -41.7878739 -22.3807935, -41.7871014 -22.3809125, -41.7866721999999 -22.3812101, -41.7861571999999 -22.3810513999999, -41.7856851999999 -22.3809719999999, -41.7854705999999 -22.3805752, -41.7858138999999 -22.3790473999999, -41.783003 -22.3773014, -41.7856207999999 -22.3718843999999, -41.7861786999999 -22.3720432, -41.7863503999999 -22.373194, -41.7863932999999 -22.3735313999999, -41.7863288999999 -22.3743449, -41.7879596999999 -22.3739282, -41.7880241 -22.3755553, -41.7887964999999 -22.3768052999999, -41.7871228 -22.377222, -41.7868223999999 -22.377599, -41.7884318 -22.3782735999999, -41.7881313 -22.3790673, -41.7887751 -22.379226, -41.7893544 -22.3803371, -41.790084 -22.3798808, -41.7913928999999 -22.3774998, -41.7918435 -22.3774998, -41.7924014 -22.3781546, -41.7922083 -22.3785910999999, -41.7912426999999 -22.3807538))"
COHAB REALENGO,ADA,"POLYGON((-43.4301313999999 -22.8847466999999, -43.4288761 -22.8839657999999, -43.4278032 -22.8850234, -43.4256038 -22.8873265, -43.4239408 -22.8861206, -43.4261188 -22.8836297, -43.4284469999999 -22.8811487, -43.4286400999999 -22.8812278, -43.4293053 -22.8827204, -43.4294126 -22.8830268, -43.4299382999999 -22.8835606, -43.4302494 -22.8844897, -43.4301313999999 -22.8847466999999))"
MORAR FLEIZ DA ALDEIA II,ADA,"POLYGON((-41.3377944 -21.7236968999999, -41.3373223 -21.7241155, -41.3368073 -21.7237767, -41.337215 -21.7232385, -41.3360777999999 -21.7223812999999, -41.3362064999999 -21.7213647, -41.3363782 -21.7206469999999, -41.3346400999999 -21.7191121, -41.3348118 -21.7177963999999, -41.3350263999999 -21.7168196, -41.3354555 -21.7154641, -41.3349191 -21.715185, -41.3343182999999 -21.7147264999999, -41.3350263999999 -21.7142281, -41.335992 -21.7140686, -41.3363995999999 -21.7142878999999, -41.336464 -21.7166202999999, -41.3361636 -21.7168794, -41.3351766 -21.7174176999999, -41.3384381 -21.722182, -41.3381805999999 -21.7226603999999, -41.3386742 -21.7229993, -41.3401977 -21.7220624, -41.3405195 -21.7226603999999, -41.3385453999999 -21.7247733999999, -41.3377944 -21.7236968999999))"
FAVELA DO SOBRAL,ADA,"POLYGON((-43.4067133999999 -22.8817657, -43.4058980999999 -22.8815284999999, -43.4051899 -22.8823389999999, -43.4052114 -22.8827739, -43.4045032999999 -22.8827937, -43.4034518999999 -22.8819832, -43.4037951999999 -22.8809353999999, -43.4021643999999 -22.8801644, -43.4043101999999 -22.8778316, -43.4043531 -22.8773967, -43.4048680999999 -22.8771396999999, -43.4062843 -22.8772582999999, -43.4075074 -22.8797294999999, -43.4083012999999 -22.8794923, -43.4087304999999 -22.880797, -43.4080008999999 -22.8809353999999, -43.4077862999999 -22.881311, -43.4067133999999 -22.8817657))"
FAVELA DA LIGHT,ADA,"POLYGON((-43.4292778 -22.8948975, -43.4291057999999 -22.8951251, -43.428529 -22.8945593999999, -43.428777 -22.8943409, -43.4286542999999 -22.8940981, -43.4283705999999 -22.8940135, -43.4279407999999 -22.8941723999999, -43.4269525 -22.8933731, -43.4265852 -22.8927631, -43.4260082 -22.8928766999999, -43.4256564999999 -22.8924666, -43.4253884 -22.8924812, -43.425131 -22.8925599999999, -43.424594 -22.892847, -43.424251 -22.893064, -43.423758 -22.892847, -43.423393 -22.893005, -43.423189 -22.892708, -43.4232529999999 -22.8924709999999, -43.423554 -22.8924909999999, -43.4238109 -22.8922188999999, -43.4250992999999 -22.8908251999999, -43.4252708 -22.8909444999999, -43.426644 -22.8893879999999, -43.4306452 -22.893064, -43.430109 -22.8937759999999, -43.4301680999999 -22.8938547, -43.4292778 -22.8948975))"
JARDIM NOVO,ADA,"POLYGON((-43.4233743999999 -22.8980961, -43.4229023999999 -22.8980961, -43.4224518 -22.8985112, -43.4215505 -22.8984518999999, -43.4207994999999 -22.8986495, -43.4205635 -22.8980564999999, -43.4198982999999 -22.8974635, -43.4190829 -22.8972262999999, -43.4180959 -22.8973647, -43.4177953999999 -22.8969298, -43.4179885999999 -22.8965739999999, -43.4172589999999 -22.8962774999999, -43.4166582 -22.8961983999999, -43.4159501 -22.8954472999999, -43.4153064 -22.8953089, -43.4150274 -22.8948543, -43.4147914 -22.8944787, -43.4150488999999 -22.8940438, -43.4148342999999 -22.8936287, -43.4148342999999 -22.892838, -43.4143837 -22.8929171, -43.4139974 -22.8934902999999, -43.413697 -22.8936879999999, -43.4132678999999 -22.8935693999999, -43.4129030999999 -22.8929565999999, -43.4121521 -22.8926799, -43.4115727 -22.8920868, -43.4119375 -22.8914938, -43.4120232999999 -22.8908612, -43.412431 -22.8909007999999, -43.4126884999999 -22.8907821999999, -43.412544 -22.8899489999999, -43.414346 -22.88904, -43.4154566 -22.8903867999999, -43.4169800999999 -22.8916123999999, -43.4180315 -22.8925611999999, -43.4185894 -22.8925019, -43.4197265999999 -22.8920868, -43.420306 -22.8917903, -43.4207350999999 -22.8920077999999, -43.4207994999999 -22.8926205999999, -43.4209496999999 -22.8930751999999, -43.4216577999999 -22.8934902999999, -43.4223658999999 -22.8937670999999, -43.4226234 -22.8942216999999, -43.4229453 -22.8948146999999, -43.4235461 -22.8954275, -43.4236104999999 -22.8960008, -43.4236748 -22.8965147, -43.4240396 -22.8972262999999, -43.4244259 -22.8974239999999, -43.4247048 -22.8976612, -43.4245546 -22.8980961, -43.4241898 -22.8978984, -43.4233743999999 -22.8980961))"
